,자치구,여가시설점수 pca
0,강남구,1.222352615528286
1,강동구,0.6657379945039642
2,강북구,1.224243751509428
3,강서구,0.7895421649145947
4,관악구,0.49557974006644817
5,광진구,0.9181244078598155
6,구로구,0.4917800401947889
7,금천구,0.33287968260072065
8,노원구,0.9199383075820095
9,도봉구,1.0260006235801187
10,동대문구,0.3992298288389402
11,동작구,0.29271701712534814
12,마포구,1.2745029564933323
13,서대문구,0.3499061966305514
14,서초구,0.23667117851327524
15,성동구,1.7132695381396303
16,성북구,0.17205080984199247
17,송파구,1.356719445478649
18,양천구,0.8741377342075359
19,영등포구,0.9595927817344019
20,용산구,0.14711310325779367
21,은평구,1.4882470321750627
22,종로구,4.999999999999999
23,중구,2.54940738374031
24,중랑구,0.0
