자치구,공연시설수,전시시설수,관광지 수,공원 수,동/식물원/휴양림 수,음식점 수,패션/미용소비 수,대형소비시설 수
종로구,329,176,151,85,6,6442,2207,3
중구,104,126,4,95,6,6363,4489,108
용산구,149,104,4,102,2,5693,1612,4
성동구,165,95,4,92,1,5278,1505,4
광진구,78,115,12,80,1,6227,2235,7
동대문구,21,140,6,100,0,6064,2089,8
중랑구,21,116,4,123,0,5107,2072,2
성북구,73,173,7,62,1,5789,2147,21
강북구,20,106,10,109,3,4712,1545,8
도봉구,16,118,3,97,1,3810,1441,1
노원구,24,205,9,228,2,5473,2246,23
은평구,35,185,12,136,1,5884,2289,6
서대문구,68,129,3,124,1,5008,1461,28
마포구,507,133,8,134,1,9470,2449,2
양천구,46,149,3,138,0,4744,2020,5
강서구,97,210,2,257,1,8160,2817,3
구로구,52,167,2,100,2,6073,2010,10
금천구,41,80,1,91,0,4568,1822,10
영등포구,145,165,5,144,1,8541,2629,25
동작구,44,171,3,110,0,4459,1514,2
관악구,44,196,5,151,0,6969,2477,6
서초구,416,196,3,155,4,8133,3056,28
강남구,1374,267,2,198,6,15139,5937,142
송파구,97,258,12,256,1,9811,3408,30
강동구,38,169,3,166,3,6555,2683,8
