,자치구,여가시설점수pca
22,강남구,4.302523505418247
24,강동구,0.665948558085927
8,강북구,0.38627280660297614
15,강서구,1.2877749655746062
20,관악구,0.6867540837172839
4,광진구,0.6493226217211411
16,구로구,0.8321289733844618
17,금천구,0.2532616801966332
10,노원구,0.7832493975840861
9,도봉구,0.40073518566644684
5,동대문구,0.33329668401257284
19,동작구,0.43011248932463186
13,마포구,1.5126845889254659
12,서대문구,0.20575839956917663
21,서초구,1.9981859901936678
3,성동구,0.461095794458689
7,성북구,0.6075395864541057
23,송파구,1.9044159946387693
14,양천구,0.6370139580203875
18,영등포구,1.0753643514043574
2,용산구,0.2852029418514367
11,은평구,0.6713737873072025
0,종로구,1.2710836461958994
1,중구,0.6718021624028714
6,중랑구,0.43477094774599095
