자치구,간이운동장 수,체육도장 수,골프/골프연습장 수,당구장 수,수영장 수,체력단련장 수
종로구,28,23,33,88,3,62
중구,3,31,93,170,9,115
용산구,8,32,41,42,7,80
성동구,0,52,54,71,6,82
광진구,5,82,56,129,9,122
동대문구,5,70,45,83,7,89
중랑구,7,84,34,106,4,77
성북구,40,117,49,133,9,94
강북구,40,64,22,94,2,56
도봉구,78,83,36,100,3,66
노원구,40,137,86,110,8,90
은평구,27,98,48,120,5,99
서대문구,23,63,27,58,3,49
마포구,100,81,76,81,7,150
양천구,2,141,91,105,17,132
강서구,73,165,144,139,15,225
구로구,54,96,92,127,6,107
금천구,35,56,45,123,2,53
영등포구,64,88,127,150,8,145
동작구,39,83,45,80,5,91
관악구,3,85,49,77,7,129
서초구,166,117,188,210,14,253
강남구,110,147,432,177,13,399
송파구,10,180,291,206,18,295
강동구,5,121,80,112,5,120
